"Both sexes","0 - 14 years","Colombia",36,27
"Both sexes","0 - 14 years","Cuba",12,8
"Both sexes","0 - 14 years","Guatemala",181,100
"Both sexes","0 - 14 years","Jamaica",15,13
"Both sexes","0 - 14 years","Mexico",204,237
"Both sexes","0 - 14 years","Peru",31,25
"Both sexes","0 - 14 years","Trinidad and Tobago",14,14
"Both sexes","0 - 14 years","Venezuela",32,51
"Both sexes","0 - 14 years","Other America",182,226
"Both sexes","0 - 14 years","Australia",1215,1969
"Both sexes","0 - 14 years","New Zealand",299,306
"Both sexes","15 - 24 years","Ireland - county of usual residence",367727,353306
"Both sexes","15 - 24 years","Ireland - county other than county of usual residence",93369,103362
"Both sexes","15 - 24 years","Northern Ireland",4840,4656
"Both sexes","15 - 24 years","England and Wales",30250,25444
"Both sexes","15 - 24 years","Scotland",1383,1256
"Both sexes","15 - 24 years","Austria",96,108
"Both sexes","15 - 24 years","Belgium",237,321
"Both sexes","15 - 24 years","Bulgaria",211,310
"Both sexes","15 - 24 years","Croatia",124,779
"Both sexes","15 - 24 years","Cyprus",30,52
"Both sexes","15 - 24 years","Czech Republic",724,585
"Both sexes","15 - 24 years","Denmark",148,110
"Both sexes","15 - 24 years","Estonia",377,234
"Both sexes","15 - 24 years","Finland",113,104
"Both sexes","15 - 24 years","France",1886,2378
"Both sexes","15 - 24 years","Germany",1765,1763
"Both sexes","15 - 24 years","Greece",82,105
"Both sexes","15 - 24 years","Hungary",741,893
"Both sexes","15 - 24 years","Italy",594,1125
"Both sexes","15 - 24 years","Latvia",3450,2388
"Both sexes","15 - 24 years","Lithuania",5658,4441
"Both sexes","15 - 24 years","Luxembourg",49,61
"Both sexes","15 - 24 years","Malta",23,31
"Both sexes","15 - 24 years","Netherlands",606,650
"Both sexes","15 - 24 years","Poland",12416,11387
"Both sexes","15 - 24 years","Portugal",227,440
"Both sexes","15 - 24 years","Romania",3379,3861
"Both sexes","15 - 24 years","Slovakia",1457,949
"Both sexes","15 - 24 years","Slovenia",22,34
"Both sexes","15 - 24 years","Spain",801,1629
"Both sexes","15 - 24 years","Sweden",336,212
"Both sexes","15 - 24 years","Albania",118,198
"Both sexes","15 - 24 years","Belarus",121,181
"Both sexes","15 - 24 years","Bosnia and Herzegovina",204,129
"Both sexes","15 - 24 years","Kosovo",133,142
"Both sexes","15 - 24 years","Moldova, Republic of",486,855
"Both sexes","15 - 24 years","Norway",127,102
